,Instrument,CSR Sustainability Reporting,ESG Reporting Scope,ESG Combined Score,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,ESG Controversies Score
347,NUE,True,100.0,50.4714093093483,50.4714093093483,63.609195504053,56.7708263153924,21.3165378925884,95.4545454545454
348,NVDA.O,True,100.0,75.8774458755887,75.8774458755887,65.5547263873462,70.7441520298935,96.7346441068769,100.0
349,NVR,False,,14.8752469678616,14.8752469678616,0.0,15.5500226346763,33.1559194814056,100.0
350,NXPI.O,True,100.0,45.7762116787396,45.7762116787396,38.6018359969558,60.9516555395955,29.3459801264679,100.0
351,ORLY.O,False,,38.3791143960499,38.3791143960499,0.0,32.7548901715568,63.8178096212897,100.0
352,OXY,True,100.0,71.5543095493422,71.5543095493422,52.0707817823202,78.5387219552608,87.6746148170866,100.0
353,ODFL.O,,,,,,,,
354,OMC,False,,44.2800572155914,44.2800572155914,18.3293269230769,32.5387958483694,68.3896281132719,100.0
355,ON.O,True,100.0,61.4673467790468,61.4673467790468,53.5492834444033,74.362429094606,49.6921369599464,100.0
356,OKE,True,100.0,56.2742062969066,56.2742062969066,47.7802197802197,40.357305268448,88.8212275846269,87.5
357,ORCL.K,False,,42.9361564858782,55.4375303630608,75.505029733616,54.3288267164224,50.3719975809441,30.4347826086956
358,OGN,,,,,,,,
359,OTIS.K,,,,,,,,
360,PCAR.O,False,,45.2477382540676,45.2477382540676,58.3470831068664,40.3186328396396,35.9911293074036,79.1666666666666
361,PKG,False,,33.4094835108202,41.8189670216404,43.3304948908034,29.7676792972587,59.9215284885704,25.0
362,PARA.O,False,,38.5622021761704,38.5622021761704,61.4675480769231,40.3726958661209,28.5432701841512,100.0
363,PH,True,100.0,47.9921401490871,47.9921401490871,59.8598817195952,50.1728476377577,30.891700445998,79.1666666666666
364,PAYX.O,False,,26.3359323638661,26.3359323638661,0.0,31.8988490625718,37.6629136813374,100.0
365,PAYC.K,,,,,,,,
366,PYPL.O,,,,,,,,
367,PNR,False,,43.9680700649269,43.9680700649269,54.3133848383673,51.014671564745,22.3148148148148,100.0
368,PEP.O,True,100.0,51.0106328990586,79.2939930708445,78.1005384817441,72.1037764902361,93.9481479565506,22.7272727272727
369,PKI,True,70.0,48.8518385504525,48.8518385504525,47.4736987818383,48.9566979402611,49.3569055792246,100.0
370,PFE,True,100.0,47.0144215533643,68.3531674310529,64.0333672695332,64.6205636197845,77.0991899118966,25.6756756756756
371,PCG,True,100.0,43.8372753677508,85.5912174021684,92.4331741243505,82.6565005526754,77.7750228787996,2.08333333333333
372,PM,True,100.0,60.8394516231536,60.8394516231536,61.5475459225459,55.272797178092,69.6784897405673,100.0
373,PSX,False,,33.5049333560643,33.5049333560643,31.0766092881477,32.7323057740208,38.4443278436531,85.0
374,PNW,True,98.74,67.7782677444679,67.7782677444679,68.5514077425841,59.1415415185907,77.6916738413104,100.0
375,PXD,False,,22.2378023119676,22.2378023119676,10.5265375649991,26.5379729607113,31.7456862839286,85.0
376,PNC,True,100.0,41.926220364853,69.0376259148912,71.9911200205581,60.4855262460935,84.9224214699829,14.8148148148148
377,POOL.O,,,,,,,,
378,PPG,True,100.0,56.7297405590903,56.7297405590903,79.0044053948689,35.3541944538167,53.5975080275949,66.6666666666666
379,PPL,True,100.0,47.3193356992216,47.3193356992216,34.3052894848871,42.8190156375301,77.1950776401149,60.0
380,PFG.O,True,100.0,58.8706629887914,58.8706629887914,84.6662646292634,67.9327080006681,38.6378892629146,100.0
381,PG,True,100.0,44.7802311249159,59.5604622498318,80.4309523809523,49.5495271279243,58.1556793001981,30.0
382,PGR,True,100.0,57.5493476476711,57.5493476476711,25.8235738421256,56.0494370067998,76.2503402567106,100.0
383,PLD,True,100.0,70.3420106618758,70.3420106618758,78.7475071744735,74.2450089895211,56.8711163006674,100.0
