,Symbol,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
173,ENPH.O,430.168,483.993,272.212,7.776,-9.126,1.3,41.449,46.952,40.206,56.655,13.974
174,ETR,11924.804,11180.552,10478.085,9063.707,8190.318,8284.994,9574.976,10312.485,9937.226,9477.6,9241.781
175,EOG,22180.0,20301.887,21640.716,19364.188,16283.273,13981.581,12943.035,17712.582,15418.459,13284.764,12640.904
176,EPAM.K,2487.117,1983.018,1596.145,1262.596,974.947,781.412,613.223,464.05,376.101,286.28,180.999
177,EQT,10029.527,9255.24,9803.588,10958.229,13319.618,5860.281,5077.791,4582.815,4034.788,3603.82,3593.83
178,EFX,3584.4,3168.4,2578.6,3107.8,3174.4,2662.7,2310.9,2200.1,2300.7,1933.2,1702.4
179,EQIX.O,10882.082,10633.988,8840.606,7219.279,6849.79,4365.829,2745.386,2270.131,2459.064,2313.441,1952.212
180,EQR,10954.948,10525.651,10315.506,10173.204,10242.464,10229.078,10470.368,10368.456,10507.201,7289.813,5669.015
181,ESS,5993.603,6000.41,6220.427,6267.073,6277.406,6192.178,6237.733,6022.672,1888.968,1769.153,1441.876
182,EL,5590.0,6057.0,3935.0,4386.0,4688.0,4384.0,3571.9,3643.2,3854.9,3286.9,2733.2
183,ETSY.O,628.619,742.424,406.634,400.898,396.894,344.757,330.498,147.3,84.215,79.887,
184,RE,10139.18,9726.176,9132.925,7860.797,8369.232,8075.396,7608.585,7451.12,6968.276,6733.467,6071.375
185,EVRG.K,9244.4,8733.4,8571.9,10028.2,3908.122,3805.875,3656.721,3294.856,3062.774,2896.14,2790.647
186,ES,14755.414,14219.136,12785.564,11642.387,11241.812,10867.302,10507.783,10132.383,9767.096,9392.618,4128.87
187,EXC.O,34393.0,32585.0,32224.0,30741,29896,25837,25986,22801,22925,21711,14385
188,EXPE.O,2057.02875,2532.03896,3967.001,4104.0,4522.335,4132.301,4864.394,1784.267,2145.464,2280.259,2199.864
189,EXPD.O,3494.426,2659.637,2195.028,1986.838,1991.858,1844.638,1691.993,1868.408,2084.783,2027.699,2003.638
190,EXR,3116.496,2547.779,2539.961,2413.724,2350.751,2244.892,2089.077,1737.425,1758.47,1491.807,1018.947
191,XOM,168577.0,157150.0,191650.0,191794,187688,167325,170811,174399,174003,165863,154396
192,FFIV.O,2468.978,2360.213,2232.268,1761.497,1285.492,1229.392,1185.262,1316.728,1369.31,1538.712,1329.4
193,FDS,1331.408,1016.353,896.375,672.256,525.9,559.691,517.381,531.584,511.082,541.779,552.264
194,FAST.O,3042.2,2733.2,2665.6,2302.7,2096.9,1933.094,1801.289,1915.217,1772.697,1560.36,1458.976
195,FRT,2580.602,2464.157,2535.341,2345.891,2266.706,1976.733,1663.749,1604.401,1448.16,1286.812,1216.092
196,FDX,24939.0,24168.0,18295.0,17757,19416,16073,13784,14993,15277,17398,14727
197,FITB.O,22210.0,23111.0,21203.0,16250,16200,16205,15839,15626,14589,13716,13201
198,FRC,15898.0,11750.646,9851.107,8677.777,7818.301,6908.652,5705.683,4778.467,4160.047,3400.103,2517.762
199,FE,8675.0,7237.0,6975.0,6814,3925,6241,12421,12420,12692,13084,13280
200,FIS,47347.0,49300.0,49440.0,10215.0,10711.0,9741.0,9321.0,6556.7,6580.5,6640.9,6503.0
201,FISV.O,30952.0,32330.0,32979.0,2293,2731,2541,2660,3295,3585,3417,3258
202,FLT,2866.58,3355.411,3711.616,3340.18,3676.522,3084.038,2830.047,2618.562,1243.893,913.822,811.436
203,FMC,3124.3,2961.8,2532.3,3121.1,2681.8,1957.7,1865.7,1530.5,1519.8,1480.3,1240.6
204,F,48519.0,30690.0,33185.0,35932,35578,29170,28642,24438,26112,15947,15028
205,FTNT.O,781.7,856.0,1342.4,1010.2,589.377,837.681,755.377,675.966,585.76,510.934,358.354
206,FTV,9512.2,8964.2,7387.0,6595.5,3790.3,2687.9,5179.5,5229.3,5123.4,,
207,FBHS.K,3064.8,2775.5,2426.6,2178.2,2599.5,2361.5,2450.9,2259.5,2649.4,2381.1,2120.8
208,FOXA.O,11339.0,11123.0,10094.0,9947,9594,6093,,,,,
209,FOX.L,5.51619,5.63665,7.65577,7.81788,6.00521,9.41346,9.64455,10.05573,6.84802,6.70951,-0.77737
