,Instrument,2021,2020,2019,2018,2017,2016
302,MAS,,71.41287454,65.76437535,55.93839519,63.87099427,59.82140055
303,MA,76.09380307,72.47721103,69.08960922,71.53252685,75.25736166,62.48795151
304,MTCH.O,46.92274754,31.03160418,23.7524234,21.40593619,14.22398975,9.194939724
305,MKC,71.43916301,72.63482226,73.35684571,71.82727427,65.41152723,64.72268648
306,MCD,,78.15557385,69.69887324,74.00713914,70.82579026,68.78521981
307,MCK,67.31543468,60.66189033,52.79971895,62.02734674,62.64825391,55.61700625
308,MDT,70.12477071,72.20568349,78.41249179,76.25940761,75.27169993,70.54923878
309,MRK,76.31338427,80.2373429,79.90965714,74.49412403,81.05817255,79.92000228
310,META.O,66.33820817,62.7700206,49.51979693,43.06339671,53.38645684,35.15945508
311,MET,66.74209694,60.5549644,54.2013295,50.41336578,51.22914993,52.94963933
312,MTD,64.42842982,62.36542111,56.73781696,61.17001866,53.35830026,46.33484931
313,MGM,69.39209253,58.82715263,65.47874806,62.28880239,63.28676347,61.73555855
314,MCHP.O,60.68118435,64.70043932,65.60603868,64.27943774,66.32511729,64.88674714
315,MU.O,,72.8779452,71.99479403,67.38610534,56.05517311,58.15545982
316,MSFT.O,93.12462481,93.4448759,92.98168059,93.27977232,90.77890091,91.28861493
317,MAA,,70.98664034,58.60607478,41.05195167,29.55143297,35.01988968
318,MRNA.O,58.29812672,53.59323039,47.32858813,41.29464022,,
319,MHK,,53.15775555,57.17685297,56.81637049,63.33314285,61.72320868
320,MOH,54.32517065,40.12240228,31.38894357,29.22139315,28.24449871,31.38580884
321,TAP,65.93180927,60.2527999,61.30904001,61.41002027,61.28214274,62.09169479
322,MDLZ.O,,74.09414445,75.16705081,69.47502736,70.07261622,70.41275354
323,MPWR.O,,34.91597093,33.01836931,19.76476206,24.09317567,28.27057082
324,MNST.O,,39.43764953,37.89022047,34.04292961,30.84943413,22.85078633
325,MCO,70.97024555,72.96179307,73.22616632,66.03692895,64.47501358,57.65182092
326,MS,,62.29989241,61.45514823,66.09539876,68.66357258,73.24524602
327,MOS,,69.0138428,66.91511723,67.1054612,68.29530073,68.85692468
328,MSI,,84.70170947,82.54263996,79.09680015,79.88241304,79.47064966
329,MSCI.K,66.0211372,60.8869204,60.81426151,58.42358934,57.37782692,45.11215507
330,NDAQ.O,78.62405,75.42835618,72.89451462,67.91378063,62.14264569,67.19377052
331,NTAP.O,66.60337163,58.02693766,56.4155439,59.83640679,57.69142154,47.92850651
332,NFLX.O,34.80510074,28.55175916,28.28197481,19.94305596,20.811826,15.9192912
333,NWL.O,74.88438411,70.06041188,50.42574544,51.5975093,46.06911727,46.46280438
334,NEM,,86.91316788,86.30161764,87.41614163,81.8982824,81.79240633
335,NWSA.O,60.01625668,49.46849805,49.41347458,53.52874615,52.64775134,39.65020476
336,NWS.O,60.01625668,49.46849805,49.41347458,53.52874615,52.64775134,39.65020476
337,NEE,,79.96534759,76.10349707,71.1097985,74.35487667,72.78586362
338,NKE,69.33509817,71.7807448,71.85434164,70.91860426,70.6724077,65.43966475
