,Symbol,2021,2020,2019,2018,2017,2016
422,SEDG.O,22.78,23.65,33.95,32.77,33.52,
423,SO,12.82,11.57,11.439,11.76,12.3,11.99
424,LUV,-13.179,-37.55,24.35,24.01,22.33,30.0
425,SWK,15.269,13.96,15.6,16.89,15.49,15.87
426,SBUX.O,-48.89,-58.52,-19.7,-137.87,102.14,53.13
427,STT,10.429,10.59,10.09,13.52,11.2,9.86
428,STE,14.929,14.51,14.66,13.04,11.85,11.09
429,SYK,24.85,21.84,25.59,25.62,25.26,24.3
430,SIVB.O,14.48,16.83,20.03,20.57,12.92,10.9
431,SYF,31.71,10.15,19.42,16.4,14.5,16.6
432,SNPS.O,21.109,19.23,18.579,17.76,16.35,14.75
433,SYY,94.18,54.61,56.38,74.13,67.91,46.38
434,TMUS.O,4.5,6.51,12.96,12.22,11.45,8.08
435,TROW.O,35.81,30.75,29.1,30.03,28.34,24.35
436,TTWO.O,16.539,26.0,26.51,31.52,37.01,30.12
437,TPR,33.78,30.39,9.37,22.16,24.33,21.44
438,TRGP.K,16.109,-44.48,-6.07,1.48,-5.84,-5.58
439,TGT,49.03,36.23,28.489,25.13,22.87,24.36
440,TEL,22.21,21.67,14.25,17.629,19.23,18.37
441,TDY,13.769,,16.27,,,
442,TFX,17.829,15.98,19.019,18.65,17.05,16.15
443,TER.O,43.99,43.42,32.76,27.0,24.81,16.28
444,TSLA.O,29.21,16.81,0.57,-4.96,-45.65,-14.06
445,TXN.O,74.78,61.55,56.05,57.73,42.82,33.84
446,TXT,11.82,8.36,16.25,15.59,11.73,13.57
447,TMO,26.48,24.34,17.38,17.02,16.08,15.34
448,TJX,58.53,6.389,59.509,60.01,53.06,53.29
449,TSCO.O,50.789,46.19,35.95,35.72,29.79,30.73
450,TT,23.3,15.82,21.73,19.75,16.7,17.34
451,TDG,,-20.56,-24.14,-43.72,-41.65,-38.16
452,TRV,13.7,11.3,10.9,10.7,9.0,12.67
453,TRMB.O,17.96,16.75,17.35,19.51,16.25,13.36
454,TFC,11.89,6.82,6.83,11.5,7.6,8.57
