,Symbol,2021,2020,2019,2018,2017,2016
389,QRVO.O,24.94,24.07,15.61,16.78,16.249,9.78
390,PWR,9.8,,,,,
391,QCOM.O,54.49,88.638,49.71,55.21,106.7,42.27
392,DGX,,17.36,11.4,13.57,14.9,15.31
393,RL,34.95,10.8,32.493,12.64,24.71,15.13
394,RJF,,16.199,10.199,16.563,18.5,
395,RTX,,4.45,13.04,10.811,17.59,19.63
396,O,2.899,3.92,4.447,2.49,4.25,4.1
397,REG.O,4.65,2.8,3.66,,,
398,REGN.O,44.38,52.03,34.62,43.05,66.1,38.69
399,RF,,,,,,
400,RSG,,9.11,9.43,10.3,10.34,10.36
401,RMD,,25.11,23.52,18.24,24.55,18.42
402,RHI,,48.34,51.44,55.2,28.0,50.38
403,ROK,29.2,10.55,37.57,70.84,44.43,
404,ROL,26.56,,,,,
405,ROP,,7.98,10.058,11.49,13.696,6.03
406,ROST.O,,40.55,70.783,71.52,34.34,55.79
407,RCL,-15.954,-12.0,9.43,8.87,9.62,8.21
408,SPGI.K,114.83,75.599,68.75,100.33,138.24,90.87
409,CRM,,7.68,7.362,11.64,23.07,9.24
410,SBAC.O,12.66,11.32,12.5,8.41,6.9,5.84
411,SLB,7.07,5.65,7.16,5.47,4.82,4.2
412,STX.O,42.75,34.99,35.31,35.38,39.862,38.66
413,SEE,20.87,19.51,53.799,26.23,19.36,9.69
414,SRE,4.49,-0.46,6.099,5.39,6.721,4.51
415,NOW,60.95,65.39,1.199,27.85,19.39,23.49
416,SHW,24.9,,20.074,17.343,15.74,43.11
417,SBNY.O,,,,,,
418,SPG,8.199,6.77,,10.949,6.88,9.94
419,SWKS.O,,30.022,32.57,35.04,43.01,49.08
420,SJM,,9.65,8.91,8.49,11.43,6.27
421,SNA,24.297,16.04,16.89,23.263,17.45,23.94
422,SEDG.O,,29.76,46.33,60.23,67.41,
423,SO,5.89,5.69,5.778,6.51,8.144,7.35
424,LUV,-22.72,-39.62,28.45,25.87,27.41,38.99
425,SWK,7.4,13.45,,14.19,16.38,15.41
426,SBUX.O,,157.33,45.35,36.799,88.41,65.87
427,STT,,,,,,
428,STE,14.199,10.53,12.69,13.43,,
429,SYK,16.831,13.29,16.9,17.92,21.73,22.07
430,SIVB.O,,,,,,
431,SYF,,,,,,
432,SNPS.O,,27.779,19.656,,,
433,SYY,20.16,15.003,15.04,22.06,14.7,7.18
434,TMUS.O,4.62,,8.08,9.116,8.18,6.8
435,TROW.O,63.799,58.299,63.7,77.4,94.599,49.81
436,TTWO.O,,114.21,48.08,,71.79,
437,TPR,,32.17,10.97,21.188,14.05,54.25
438,TRGP.K,11.21,-7.7,2.6,3.22,-1.042,11.46
439,TGT,43.3,28.062,18.01,15.75,15.17,16.53
440,TEL,17.23,16.25,11.864,14.212,14.81,17.131
441,TDY,,,14.61,,,
442,TFX,13.49,10.48,13.05,12.97,12.394,12.76
443,TER.O,80.36,,,,85.34,53.79
444,TSLA.O,41.2,22.04,4.92,2.16,-9.092,-12.0
445,TXN.O,68.9,42.68,53.76,57.05,61.17,43.53
446,TXT,9.94,8.37,12.0,17.425,13.54,14.32
447,TMO,,17.98,11.89,11.26,9.53,11.29
448,TJX,116.26,38.55,,72.17,63.05,62.02
449,TSCO.O,59.811,52.06,30.42,29.78,24.91,40.82
450,TT,,16.21,15.97,16.22,17.76,8.08
451,TDG,,13.77,16.17,15.7,18.29,17.26
452,TRV,,,,,,
453,TRMB.O,,,,,,
454,TFC,,,,,,
